Formulation,n,r_min,r_max,Instance,Status,Gap,Time,Cuts
ABF,10,0.25,0.25,0,Suboptimal,0.01774559,20.23,0
ABF,10,0.25,0.25,1,Optimal,9.705e-05,0.44,0
ABF,10,0.25,0.25,2,Optimal,0.0,189.89,0
ABF,10,0.25,0.25,3,Optimal,7.506e-05,4.66,0
ABF,10,0.25,0.25,4,Optimal,4.934e-05,3.17,0
ABF,10,0.2,0.3,0,Optimal,1.765e-05,11.34,0
ABF,10,0.2,0.3,1,Optimal,4.478e-05,0.54,0
ABF,10,0.2,0.3,2,Optimal,8.44e-05,6.33,0
ABF,10,0.2,0.3,3,Optimal,7.991e-05,5.46,0
ABF,10,0.2,0.3,4,Optimal,0.0,2.98,0
ABF,10,0.125,0.375,0,Optimal,9.433e-05,9.4,0
ABF,10,0.125,0.375,1,Optimal,1.959e-05,8.78,0
ABF,10,0.125,0.375,2,Optimal,9.492e-05,4.18,0
ABF,10,0.125,0.375,3,Optimal,7.414e-05,0.85,0
ABF,10,0.125,0.375,4,Optimal,7.41e-06,4.38,0
ABF,10,0.5,0.5,0,Suboptimal,0.01874014,64.05,0
ABF,10,0.5,0.5,1,Optimal,4.502e-05,24.39,0
ABF,10,0.5,0.5,2,Optimal,0.0,12.73,0
ABF,10,0.5,0.5,3,Optimal,9.514e-05,16.23,0
ABF,10,0.5,0.5,4,Suboptimal,0.19167653,377.21,0
ABF,10,0.4,0.6,0,Optimal,6.958e-05,17.03,0
ABF,10,0.4,0.6,1,Optimal,6.708e-05,31.13,0
ABF,10,0.4,0.6,2,Optimal,3.476e-05,4.65,0
ABF,10,0.4,0.6,3,Optimal,7.765e-05,34.18,0
ABF,10,0.4,0.6,4,Suboptimal,0.16416313,348.74,0
ABF,10,0.25,0.75,0,Optimal,7.331e-05,25.39,0
ABF,10,0.25,0.75,1,Suboptimal,0.06835994,518.12,0
ABF,10,0.25,0.75,2,Optimal,4.287e-05,1.24,0
ABF,10,0.25,0.75,3,Suboptimal,0.10636379,509.27,0
ABF,10,0.25,0.75,4,Optimal,0.0,17.95,0
ABF,10,1.0,1.0,0,Suboptimal,0.02666598,447.55,0
ABF,10,1.0,1.0,1,Suboptimal,0.04759285,122.14,0
ABF,10,1.0,1.0,2,Time_limit,0.13833076,600.14,0
ABF,10,1.0,1.0,3,Suboptimal,0.07070234,475.07,0
ABF,10,1.0,1.0,4,Optimal,3.209e-05,13.39,0
ABF,10,0.8,1.2,0,Suboptimal,0.00337951,76.28,0
ABF,10,0.8,1.2,1,Time_limit,0.53486962,600.15,0
ABF,10,0.8,1.2,2,Optimal,1.667e-05,18.48,0
ABF,10,0.8,1.2,3,Suboptimal,0.01359322,50.75,0
ABF,10,0.8,1.2,4,Suboptimal,0.15154533,199.72,0
ABF,10,0.5,1.5,0,Optimal,2.541e-05,25.1,0
ABF,10,0.5,1.5,1,Suboptimal,0.04789603,153.56,0
ABF,10,0.5,1.5,2,Optimal,8.197e-05,6.4,0
ABF,10,0.5,1.5,3,Time_limit,0.54013586,600.04,0
ABF,10,0.5,1.5,4,Suboptimal,0.10466916,98.02,0
ABF-D,10,0.25,0.25,0,Optimal,0.0,1.09,176
ABF-D,10,0.25,0.25,1,Optimal,0.0,0.23,28
ABF-D,10,0.25,0.25,2,Optimal,0.0,0.21,32
ABF-D,10,0.25,0.25,3,Optimal,0.0,0.35,66
ABF-D,10,0.25,0.25,4,Optimal,0.0,0.13,14
ABF-D,10,0.2,0.3,0,Optimal,0.0,1.28,204
ABF-D,10,0.2,0.3,1,Optimal,0.0,0.19,28
ABF-D,10,0.2,0.3,2,Optimal,0.0,0.25,32
ABF-D,10,0.2,0.3,3,Optimal,0.0,0.3,54
ABF-D,10,0.2,0.3,4,Optimal,0.0,0.16,14
ABF-D,10,0.125,0.375,0,Optimal,0.0,1.31,234
ABF-D,10,0.125,0.375,1,Optimal,0.0,0.22,30
ABF-D,10,0.125,0.375,2,Optimal,0.0,0.17,26
ABF-D,10,0.125,0.375,3,Optimal,0.0,0.36,54
ABF-D,10,0.125,0.375,4,Optimal,0.0,0.1,12
ABF-D,10,0.5,0.5,0,Optimal,0.0,4.86,836
ABF-D,10,0.5,0.5,1,Optimal,0.0,0.97,174
ABF-D,10,0.5,0.5,2,Optimal,0.0,1.38,266
ABF-D,10,0.5,0.5,3,Optimal,0.0,2.09,414
ABF-D,10,0.5,0.5,4,Optimal,0.0,0.38,44
ABF-D,10,0.4,0.6,0,Optimal,0.0,5.67,990
